t,ndyag,rogowsky,oscillator
7.49E-07,0.043478262,-0.98023713,0.0085375495
7.50E-07,0.023715414,-0.90118575,0.0086363638
7.50E-07,0.063241109,-0.98023713,0.0082411068
7.51E-07,0.043478262,-0.98023713,0.0085375495
7.51E-07,0.023715414,-0.82213438,0.0085375495
7.51E-07,0.043478262,-0.90118575,0.008735178
7.52E-07,0.063241109,-1.0592885,0.0081422925
7.52E-07,0.043478262,-1.1383399,0.0081422925
7.53E-07,0.0039525693,-0.90118575,0.008339921
7.53E-07,0.0039525693,-0.82213438,0.0081422925
7.53E-07,0.023715414,-0.82213438,0.0081422925
7.54E-07,0.063241109,-0.90118575,0.0081422925
7.54E-07,0.023715414,-0.90118575,0.0080434782
7.55E-07,0.023715414,-0.90118575,0.0081422925
7.55E-07,0.023715414,-1.1383399,0.007549407
7.55E-07,0.023715414,-0.98023713,0.0084387353
7.56E-07,0.043478262,-0.98023713,0.0080434782
7.56E-07,0.023715414,-0.82213438,0.0081422925
7.57E-07,0.023715414,-0.90118575,0.0082411068
7.57E-07,0.063241109,-0.98023713,0.0082411068
7.57E-07,0.0039525693,-1.0592885,0.0078458497
7.58E-07,0.023715414,-0.82213438,0.0080434782
7.58E-07,0.0039525693,-0.82213438,0.0081422925
7.59E-07,0.0039525693,-0.82213438,0.0078458497
7.59E-07,0.043478262,-0.82213438,0.0080434782
7.59E-07,0.043478262,-0.98023713,0.007944664
7.60E-07,0.023715414,-0.90118575,0.0078458497
7.60E-07,0.063241109,-0.90118575,0.0081422925
7.61E-07,0.043478262,-0.82213438,0.0078458497
7.61E-07,0.0039525693,-0.66403162,0.0084387353
7.61E-07,0.023715414,-0.82213438,0.0077470355
7.62E-07,0.043478262,-0.90118575,0.0084387353
7.62E-07,0.0039525693,-1.0592885,0.0078458497
7.63E-07,0.023715414,-0.90118575,0.0080434782
7.63E-07,0.043478262,-0.90118575,0.007944664
7.63E-07,0.023715414,-0.82213438,0.0078458497
7.64E-07,0.043478262,-1.0592885,0.0078458497
7.64E-07,0.023715414,-0.743083,0.0077470355
7.65E-07,0.043478262,-0.743083,0.0078458497
7.65E-07,0.063241109,-0.82213438,0.0078458497
7.65E-07,0.043478262,-0.82213438,0.0080434782
7.66E-07,0.023715414,-0.82213438,0.0078458497
