t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09
6.26773386693347e-07,0.039841908,-1.4279891,-1.322999,-1.3754941,-1.3754941,-1.4279891,-1.322999,-1.322999,-1.4279891,-1.3754941
6.27373686843422e-07,0.014940688,-1.5335969,-1.3754941,-1.322999,-1.3754941,-1.322999,-1.2173913,-1.3754941,-1.1117836,-1.5335969
6.27973986993497e-07,0.006672724,-1.3754941,-1.3754941,-1.322999,-1.2698864,-1.3754941,-1.2173913,-1.5335969,-1.3754941,-1.4811018
6.28574287143572e-07,0.023208726,-1.322999,-1.322999,-1.2173913,-1.2698864,-1.2173913,-1.1648962,-1.3754941,-1.3754941,-1.6392045
6.29174587293647e-07,0.031573945,-1.3754941,-1.3754941,-1.2698864,-1.3754941,-1.322999,-1.2698864,-1.4279891,-1.4811018,-1.3754941
6.29774887443722e-07,0.023208726,-1.322999,-1.322999,-1.322999,-1.322999,-1.322999,-1.3754941,-1.3754941,-1.322999,-1.322999
6.30375187593797e-07,0.023208726,-1.3754941,-1.322999,-1.2173913,-1.1648962,-1.3754941,-1.4279891,-1.3754941,-1.1117836,-1.2173913
6.30975487743872e-07,0.023208726,-1.4279891,-1.3754941,-1.2173913,-1.3754941,-1.4279891,-1.3754941,-1.3754941,-1.3754941,-1.2173913
6.31575787893947e-07,0.014940688,-1.3754941,-1.3754941,-1.5860919,-1.3754941,-1.2698864,-1.1117836,-1.322999,-1.3754941,-1.3754941
6.32176088044022e-07,0.014940688,-1.4279891,-1.2173913,-1.4279891,-1.3754941,-1.4279891,-1.2173913,-1.4279891,-1.322999,-1.2698864
6.32776388194097e-07,0.031573945,-1.4279891,-1.2173913,-1.2698864,-1.2698864,-1.2173913,-1.2173913,-1.2173913,-1.2698864,-1.3754941
6.33376688344172e-07,0.006672724,-1.3754941,-1.322999,-1.322999,-1.2698864,-1.2173913,-1.2173913,-1.3754941,-1.2173913,-1.4279891
6.33976988494247e-07,0.031573945,-1.322999,-1.3754941,-1.322999,-1.4811018,-1.4279891,-1.4279891,-1.2173913,-1.2173913,-1.1648962
6.34577288644322e-07,0.014940688,-1.2173913,-1.2173913,-1.2698864,-1.322999,-1.2698864,-1.3754941,-1.3754941,-1.4811018,-1.2173913
6.35177588794397e-07,0.023208726,-1.322999,-1.3754941,-1.3754941,-1.2173913,-1.3754941,-1.4279891,-1.2173913,-1.3754941,-1.322999
6.35777888944472e-07,-0.001692495,-1.2698864,-1.1648962,-1.322999,-1.3754941,-1.3754941,-1.3754941,-1.1648962,-1.2173913,-1.2698864
6.36378189094547e-07,0.031573945,-1.2173913,-1.3754941,-1.2698864,-1.2173913,-1.2698864,-1.1117836,-1.2698864,-1.2698864,-1.2173913
6.36978489244622e-07,0.006672724,-1.322999,-1.2173913,-1.4279891,-1.2173913,-1.3754941,-1.3754941,-1.2173913,-1.2698864,-1.322999
6.37578789394697e-07,0.023208726,-1.2173913,-1.2698864,-1.2173913,-1.2173913,-1.1117836,-1.4811018,-1.1648962,-1.2173913,-1.2698864
6.38179089544772e-07,0.023208726,-1.4279891,-1.3754941,-1.2173913,-1.322999,-1.3754941,-1.2173913,-1.2173913,-1.1117836,-1.322999
6.38779389694847e-07,0.023208726,-1.2173913,-1.2698864,-1.2173913,-1.2173913,-1.2173913,-1.1648962,-1.1648962,-1.2698864,-1.2173913
6.39379689844922e-07,0.023208726,-1.2173913,-1.322999,-1.2173913,-1.322999,-1.322999,-1.2698864,-1.2173913,-1.2173913,-1.2698864
6.39979989994997e-07,0.031573945,-1.1648962,-1.2698864,-1.2698864,-1.322999,-1.1117836,-1.1117836,-1.2698864,-1.2698864,-1.3754941
6.40580290145072e-07,-0.001692495,-1.2173913,-1.322999,-1.2173913,-1.2173913,-1.1117836,-1.2173913,-1.2173913,-1.2173913,-1.3754941
6.41180590295147e-07,0.039841908,-1.322999,-1.2173913,-1.0592885,-1.2173913,-1.2173913,-1.322999,-1.3754941,-1.2173913,-1.2698864
6.41780890445223e-07,0.006672724,-1.2698864,-1.2173913,-1.1648962,-1.2173913,-1.1648962,-1.2173913,-1.2173913,-1.2698864,-1.1648962
6.42381190595298e-07,0.014940688,-1.1117836,-1.0067935,-1.322999,-1.3754941,-1.2173913,-1.2698864,-1.2173913,-1.322999,-1.4279891
6.42981490745373e-07,0.014940688,-1.1648962,-1.2173913,-1.0592885,-1.1117836,-1.2698864,-1.1648962,-1.3754941,-1.2173913,-1.322999
6.43581790895448e-07,0.023208726,-1.322999,-1.1117836,-1.1648962,-1.1117836,-1.322999,-1.0592885,-1.2173913,-1.2173913,-1.2173913
6.44182091045523e-07,0.006672724,-1.1648962,-1.2698864,-1.2173913,-1.2173913,-1.2173913,-1.2173913,-1.2698864,-1.1648962,-1.2698864
6.44782391195598e-07,0.023208726,-1.1117836,-1.1648962,-1.3754941,-1.2698864,-1.2698864,-1.2173913,-1.1648962,-1.2173913,-1.2698864
6.45382691345673e-07,0.023208726,-1.0592885,-1.2173913,-1.2698864,-1.2698864,-1.322999,-1.2698864,-1.2173913,-1.2173913,-1.2173913
