t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12
-5.76E-08,0.01494068751,-0.0290514,-0.0428313375,-0.0013293,-0.0428313375,0.012450585,-0.0013293,-0.0290514,-0.0013293,-0.0290514,-0.0428313375,-0.0290514,-0.0152714625
-5.70E-08,0.03157394499,-0.0428313375,-0.0290514,-0.0290514,0.026230575,0.012450585,-0.0428313375,-0.0290514,-0.0013293,0.012450585,-0.0152714625,-0.0152714625,0.012450585
-5.64E-08,0.02320872561,-0.0013293,-0.0152714625,-0.0428313375,-0.0152714625,-0.0290514,-0.0013293,-0.0152714625,-0.0428313375,-0.0013293,-0.0013293,-0.0152714625,-0.0290514
-5.58E-08,-0.001692495315,-0.0013293,-0.0013293,0.012450585,-0.0152714625,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293,-0.0013293,-0.0152714625,-0.0428313375,-0.0290514
-5.52E-08,-0.001692495315,-0.0290514,-0.0152714625,-0.0013293,-0.0290514,-0.0152714625,-0.0013293,-0.0013293,-0.0290514,-0.0290514,0.012450585,-0.0013293,-0.0013293
-5.46E-08,0.00667272438,-0.0013293,-0.0152714625,-0.0428313375,-0.0290514,0.012450585,-0.0152714625,0.012450585,0.012450585,0.012450585,-0.0152714625,-0.0152714625,-0.0013293
-5.40E-08,0.01494068751,-0.0013293,-0.0290514,-0.0152714625,-0.0290514,-0.0290514,-0.0152714625,0.012450585,-0.0290514,-0.0290514,-0.0013293,0.04017258,0.012450585
-5.34E-08,0.02320872561,-0.0152714625,0.012450585,-0.0428313375,-0.056773374,-0.0428313375,-0.0428313375,0.012450585,-0.0152714625,-0.0290514,-0.0290514,-0.0013293,-0.0290514
-5.28E-08,0.01494068751,0.012450585,0.012450585,-0.0152714625,0.012450585,-0.0290514,0.026230575,-0.0152714625,-0.0013293,-0.0290514,-0.0152714625,-0.0013293,-0.0290514
-5.22E-08,0.01494068751,-0.0290514,-0.0152714625,-0.0013293,-0.0013293,-0.0152714625,-0.0013293,-0.0013293,-0.0705533115,-0.0013293,-0.0428313375,0.012450585,0.026230575
-5.16E-08,0.01494068751,-0.0152714625,0.012450585,-0.0013293,-0.0428313375,-0.0290514,-0.0152714625,-0.056773374,0.06773256,-0.0428313375,-0.0290514,-0.0428313375,-0.0013293
-5.10E-08,0.01494068751,-0.0013293,-0.0152714625,0.012450585,-0.0152714625,-0.0428313375,-0.0013293,-0.0152714625,-0.0013293,-0.0428313375,-0.0152714625,-0.0013293,0.012450585
-5.04E-08,0.01494068751,0.012450585,-0.0013293,-0.0013293,-0.0013293,-0.0013293,-0.0152714625,-0.0013293,0.012450585,-0.0290514,0.012450585,0.026230575,-0.0290514
-4.98E-08,0.02320872561,-0.0152714625,-0.0152714625,-0.0152714625,0.026230575,-0.0013293,-0.0290514,0.012450585,-0.0013293,-0.0152714625,-0.0290514,-0.084333249,-0.0013293
-4.92E-08,0.02320872561,-0.0290514,-0.0290514,-0.0152714625,-0.0152714625,-0.0013293,-0.0290514,-0.0152714625,-0.0013293,-0.0290514,0.026230575,-0.0290514,0.026230575
-4.86E-08,0.01494068751,-0.0152714625,-0.0013293,-0.0152714625,-0.0290514,-0.0152714625,-0.0290514,0.012450585,-0.0013293,-0.0290514,-0.0152714625,-0.0013293,-0.0290514
-4.80E-08,0.00667272438,0.012450585,-0.0152714625,-0.056773374,-0.0152714625,-0.0290514,-0.0013293,-0.0013293,0.012450585,-0.0013293,0.012450585,-0.0290514,-0.0013293
